Time Received,VIN,VIN Search,Tag,Tag Search,Year,Make,Model,Color,Type,Tow Location,Pickup Lot,Time of Tow
02/14/2024 03:06,xxxxxxxxxxxx63285,1FTFW1EV0AFD63285,xxx5199,TYH5199,2010,FORD,F-150,RED,PRIVATE,2300-BLK E CARY ST,1901 RICHMOND HWY,02/14/2024 3:05 AM
02/08/2024 01:56,xxxxxxxxxxxx28022,1FTNE24W25HA28022,xxx1661,TPJ1661,2008,FORD,E250,WHITE,PRIVATE,2500-BLK ATWELL DR,11THURMAN ST,02/08/2024 1:56 AM
02/12/2024 05:11,xxxxxxxxxxxx02486,1ftne2ew9cda02486,xxx9193,TYN9193,2012,FORD,E250,WHITE,REPO,1500-BLK OAKWOOD AVE,"2500, AUSTIN AVENUE",02/12/2024 5:11 AM
02/07/2024 11:05,xxxxxxxxxxxx50977,1FTPW14545FA50977,xxx9344,KJS9344,2005,FORD,F150,BLACK,PUBLIC,200-BLK W 7TH ST,642 W SOUTHSIDE PLZ,02/07/2024 11:04 AM
02/15/2024 13:59,xxxxxxxxxxxx57371,1FTPW14VX7FA57371,4894,4894,2007,FORD,F-150,BLUE,PRIVATE,5300-BLK MIDLOTHIAN TURNPIKE SUITE A,5300 MIDLOTHIAN TURNPIKE SUITE B,11/16/2023 1:58 PM
02/07/2024 13:53,xxxxxxxxxxxx50723,1FTRW07W01KE50723,xASKR,TASKR,2001,FORD,F150,WHITE,PUBLIC,1100-BLK E 17TH ST,642 W SOUTHSIDE PLZ,02/07/2024 1:51 PM
02/05/2024 18:24,xxxxxxxxxxxx34610,1FTRX14W16FA34610,xxx3275,VVB3275,2006,FORD,FREE,GRAY,PUBLIC,1500-BLK BOSOTON AVE,642 W SOUTHSIDE PLZ,02/05/2024 6:24 PM
02/10/2024 18:01,xxxxxxxxxxxx87009,1FTSW30P54EC87009,xxx2548,UB12548,2004,FORD,F350,BLUE,PRIVATE,1400-BLK SEMMES AVE,1901 RICHMOND HWY,02/10/2024 6:00 PM
02/10/2024 00:59,xxxxxxxxxxxxOOO66,1FTYE1CM5FKBOOO66,xxx5110,WZA5110,2014,FORD,TRANS,WHITE,PRIVATE,2500-BLK ATWELL DR,11THURMAN ST,02/10/2024 12:59 AM
02/15/2024 18:54,xxxxxxxxxxxx92098,1FTYR10D27PA92098,xxxx6464,TVP-6464,2007,FORD,RANGE,WHITE,PUBLIC,6300-BLK HULL ST RD,642 W SOUTHSIDE PLAZA DRIVE,02/15/2024 5:17 PM
02/15/2024 03:58,xxxxxxxxxxxx09343,1FTYR2CMXHKB09343,xxx6106,TSV6106,2017,FORD,TRANS,WHITE,REPO,2200-BLK KESWICK AVE,1600 DINWIDDIE AVE,02/15/2024 3:57 AM
02/08/2024 18:03,xxxxxxxxxxxx01799,1FTYR44U12TA01799,xxxx1412,UTE-1412,2002,FORD,RANGE,YELLOW,PUBLIC,W CARY ST/S HARRISON ST RICH,642 W SOUTHSIDE PLZ,02/08/2024 6:03 PM
02/07/2024 17:07,xxxxxxxxxxxx45747,1g1115sl0eu145747,xxx7719,TMT7719,2014,CHEVY,IMPAL,BLUE,PRIVATE,900-BLK W GRACE ST,GRAB GO TOWING,02/07/2024 5:06 PM
02/08/2024 23:10,xxxxxxxxxxxx43811,1G11B5SA0DF343811,xxx1690,UHC1690,2013,CHEVY,MALIB,SILVER,REPO,00-BLK N 17TH ST,600 DINWIDDIE AVE,02/08/2024 11:10 PM
02/05/2024 18:30,xxxxxxxxxxxx30039,1G11C5SL8FF130039,xxxx2136,TZD-2136,2015,CHEVY,MALIB,BLACK,PUBLIC,WARWICK VILLAGE DR/WARWICK RD RICH,642 W SOUTHSIDE PLZ,02/05/2024 5:30 PM
02/07/2024 11:17,xxxxxxxxxxxx34757,1G11E5SA2DF234757,xx634B,14634B,2013,CHEVR,MALIB,WHITE,PRIVATE,600-BLK HULL ST,642 W SOUTHSIDE PLZ,02/07/2024 9:19 AM
02/12/2024 13:26,xxxxxxxxxxxx27649,1g11f5sl6ff227649,xxx8679,TPL8679,2015,CHEVY,MALIB,BLACK,REPO,1500-BLK ROANE ST,3575 BRIDGE RD,02/09/2024 1:39 PM
02/10/2024 06:06,xxxxxxxxxxxx44052,1G11H5SL4EF144052,xxx4738,TTN4738,2014,CHEVR,MALIB,WHITE,PRIVATE,3200-BLK CHAMBERLAYNE AVE,8675 TELEGRAPH RD,02/10/2024 6:05 AM
02/10/2024 03:37,xxxxxxxxxxxx04367,1G1AD5F57A7204367,xxxx1951,UJL-1951,2010,CHEV,COROL,RED,PUBLIC,N 2ND ST/E GRACE ST RICH,642 W SOUTHSIDE PLZ,02/10/2024 3:37 AM
02/12/2024 23:20,xxxxxxxxxxxx14842,1G1AL58F987314842,xxx5859,UWD5859,2008,CHEVR,COBAL,SILVER,PRIVATE,500-BLK N 18TH ST,1901 RICHMOND HWY,02/12/2024 11:20 PM
02/16/2024 12:13,xxxxxxxxxxxx34356,1G1AS58H897234356,xxx3049,TTH3049,2009,CHEVY,COBAL,GRAY,PUBLIC,900-BLK HAMMOND AVE,642 W SOUTHSIDE PLZ,02/16/2024 12:12 PM
02/15/2024 00:41,xxxxxxxxxxxx35955,1G1BG5SM1G7235955,xxxx3873,TPK-3873,2016,CHEVY,CRUZE,BLACK,REPO,1200-BLK ST PETER ST,8120 SHELL RD CHESTERFIELD,02/14/2024 11:50 PM
02/06/2024 12:33,xxxxxxxxxxx36971,1g1bn69hgy136971,xxx9122,UHS9122,1986,CHEVY,CAPRI,BLUE,PRIVATE,6500-BLK MIDLOTHIAN TPKE,5341 OLD MIDLOTHIAN TPKE,02/06/2024 12:32 PM
02/14/2024 00:07,xxxxxxxxxxxx13005,1G1FB1RX5H0113005,xx0876,Y70876,2017,CHEVY,CAMAR,PURPLE,REPO,1600-BLK HICKORY ST,2500 AUSTIN AVE RICHMOND VA,02/14/2024 12:06 AM
02/07/2024 13:06,xxxxxxxxxxxx04406,1G1FH1R72H0104406,xxxx3140,TXC-3140,2017,CHEVR,CAMAR,BLACK,PUBLIC,400-BLK E 15TH ST,642 W SOUTHSIDE PLZ,02/07/2024 12:14 PM
02/15/2024 01:53,xxxxxxxxxxxx34481,1G1FX6S06P4134481,xxx9302,UCG9302,2023,CHEVR,BOLT,BLACK,PRIVATE,900-BLK ST JOHNS WOOD DR,168 BELT BLVD,02/15/2024 1:52 AM
02/13/2024 10:46,xxxxxxxxxxxx34079,1G1JB6SH2C4134079,xxx1578,TZN1578,2012,CHEVY,SONIC,BLK,PUBLIC,2000-BLK E MAIN ST,642 W SOUTHSIDE PLZ,02/13/2024 10:45 AM
02/07/2024 12:59,xxxxxxxxxxxx08451,1G1JC5SB1C4208451,xxxx8860,TLF-8860,2012,CHEV,SONIC,WHITE,PUBLIC,300-BLK E 13TH ST,642 W SOUTHSIDE PLZ,02/07/2024 12:59 PM
02/07/2024 13:03,xxxxxxxxxxxx80425,1G1JC6SH5E4180425,xxxx7591,UEC-7591,2014,CHEVR,SONIC,SILVER,PUBLIC,500-BLK E 15TH ST,642 W SOUTHSIDE PLZ,02/07/2024 12:19 PM
02/11/2024 21:05,xxxxxxxxxxxx95129,1G1PC5SB4E7395129,xxx6235,TXN6235,2014,CHEVY,CRUZ,GOLD,PUBLIC,500-BLK NORTH 18TH ST,1901 RICHMOND HWY,02/11/2024 9:05 PM
02/06/2024 08:59,xxxxxxxxxxxx03426,1G1PC5SHXC7303426,xxx9875,TWP9875,2012,CHEVR,CRUZE,SILVER,PRIVATE,300-BLK STOCKTON ST,11 THURMAN ST,02/06/2024 8:58 AM
02/11/2024 23:55,xxxxxxxxxxxx52641,1G1PE5SB9G7152641,xxx7928,TND7928,2016,CHEVY,CRUZ,BURGUND,PUBLIC,2800-BLK EAST MAIN ST,1901 RICHMOND HWY,02/11/2024 11:54 PM
02/16/2024 23:21,xxxxxxxxxxxx76450,1G1PF5S98B7176450,xxxx9191,UAG-9191,2011,CHEV,CRUZE,BLK,PUBLIC,W BROAD ST/ALLISON ST RICH,642 W SOUTHSIDE PLZ,02/16/2024 11:20 PM
02/05/2024 04:59,xxxxxxxxxxxx51682,1G1PF5SC7C7151682,xxxx8288,TVJ-8288,2012,CHEVY,CRUZE,RED,REPO,1200-BLK E MAIN ST,2500 AUSTIN AVE RICHMOND VA,02/05/2024 4:59 AM
02/07/2024 22:30,xxxxxxxxxxxx21845,1G1ZB5ST5GF321845,xxx9592,TYD9592,2016,CHEVY,MALIB,SILVER,PRIVATE,5800-BLK WESTOWER DR,8675 TELEGRAPH RD,02/07/2024 10:29 PM
02/09/2024 22:51,xxxxxxxxxxxx84544,1G1ZB5ST5MF084544,xELTA,MELTA,2021,CHEVY,MALIB,GREY,PRIVATE,100-BLK MANCH,168 BELT BLVD,02/09/2024 10:51 PM
02/12/2024 13:58,xxxxxxxxxxxx87440,1G1ZC5E00CF387440,xxxx6410,TRL-6410,2012,CHEVR,MALIB,SILVER,PUBLIC,W BROAD ST/N LAUREL ST RICH,642 W SOUTHSIDE PLAZA DRIVE,02/12/2024 1:23 PM
02/12/2024 19:06,xxxxxxxxxxxx67975,1G1ZC5E05CF367975,xxxx2816,VRA-2816,2012,CHEVR,MALIB,BLACK,PUBLIC,E 4TH ST/HULL ST RICH,642 W SOUTHSIDE PLAZA DRIVE,02/12/2024 5:56 PM
02/05/2024 10:58,xxxxxxxxxxxx62414,1G1ZC5E10BF262414,xxx1279,TNU1279,2011,CHEVY,MALIB,SILVER,PUBLIC,900-BLK PERRY ST,642 W SOUTHSIDE PLZ,02/05/2024 10:58 AM
02/08/2024 04:13,xxxxxxxxxxxx02167,1G1ZC5EB0AF102167,xxx9873,UEK9873,2010,CHEVR,MALIB,BLUE,PRIVATE,900-BLK ST JOHNS WOOD DR,2168 CREIGHTON RD,02/08/2024 4:13 AM
02/14/2024 04:12,xxxxxxxxxxxx05160,1G1ZC5EB4AF305160,xx5063,B45063,2010,CHEVR,MALIB,BLUE,PRIVATE,4600-BLK SOUTHWOOD PKWY,1901 RICHMOND HWY,02/14/2024 4:11 AM
02/12/2024 22:44,xxxxxxxxxxxx65168,1G1ZC5ST5NF165168,xxx5892,TUH5892,2022,CHEVR,MALIB,SILVER,PRIVATE,100-BLK W COMMERCE RD,1901 RICHMOND HWY,02/12/2024 10:44 PM
02/14/2024 10:40,xxxxxxxxxxxx35754,1G1ZD5ST1LF035754,xxxx6527,UDV-6527,2020,CHEVY,MALIB,GRAY,PUBLIC,1300-BLK MINEFEE ST,642 W SOUTHSIDE PLZ,02/14/2024 8:21 AM
02/05/2024 14:39,xxxxxxxxxxxx46777,1G1ZD5ST2JF146777,xxxx3646,UWK-3646,2018,CHEVY,MALIB,SILVER,PUBLIC,00-BLK S 18TH ST,642 W SOUTHSIDE PLZ,02/05/2024 12:38 PM
02/07/2024 22:41,xxxxxxxxxxxx75200,1G1ZD5ST7NF175200,xxTC45,3NTC45,2022,CHEVY,MALIB,GREY,PRIVATE,1300-BLK HULL ST,168 BELT BLVD,02/07/2024 10:41 PM
02/07/2024 03:32,xxxxxxxxxxxx04834,1g1zd5st9lf004834,xxx3325,TXR3325,2020,CHEVY,MALIB,BLACK,PRIVATE,1700-BLK COLORADO AVE,5341 OLD MIDLOTHIAN TPKE,02/07/2024 3:32 AM
02/09/2024 15:55,xxxxxxxxxxxx21574,1G1ZD5ST9NF121574,xxD731,UBD731,2022,CHEVY,MALIB,SILVER,PUBLIC,CHIPPENHAM/FOREST HILL AVE RICH,642 W SOUTHSIDE PLZ,02/09/2024 3:55 PM
02/12/2024 06:45,xxxxxxxxxxxx31232,1G1ZG57B684231232,xx TAG,NO TAG,2008,CHEVY,MALIB,BLUE,PUBLIC,900-BLK NORTH 30TH ST,1901 RICHMOND HWY,02/12/2024 4:50 AM
02/09/2024 03:20,xxxxxxxxxxxx12262,1G1ZU64804F212262,xxx7665,UPM7665,2004,CHEVR,MALIB,SILVER,PRIVATE,900-BLK ST JOHNS WOOD DR,168 BELT BLVD,02/09/2024 3:20 AM
02/15/2024 15:08,xxxxxxxxxxxx33522,1G2HX52K45U133522,xxxx9119,UHS-9119,2005,PONTI,BONNE,BLACK,PUBLIC,1600-BLK COMMERCE RD,642 W SOUTHSIDE PLZ,02/15/2024 3:02 PM
02/05/2024 20:04,xxxxxxxxxxxx09713,1G2ZG58N774209713,,,2007,PONTI,G6,RED,PUBLIC,3500-BLK E RICHMOND RD,TXX-5646,02/05/2024 5:38 PM
02/15/2024 18:23,xxxxxxxxxxxx43711,1G2ZH58N174243711,xxxx8515,TTE-8515,2007,PONT,G6,BLACK,PUBLIC,HERMITAGE RD/W LABURNUM AVE RICH,642 W SOUTHSIDE PLZ,02/15/2024 6:21 PM
02/15/2024 10:17,xxxxxxxxxxxx80439,1G3GS64C514180439,xxx1314,VLA1314,2001,OLDSM,AUROR,BLK,PUBLIC,300-BLK N 20TH ST,642 W SOUTHSIDE PLZ,02/15/2024 10:15 AM
02/06/2024 04:48,xxxxxxxxxxxx44899,1G3NF52E21C144899,xxx4506,TMS4506,2001,OLDSM,ALERO,BLUE,PRIVATE,400-BLK WESTOVER HILLS BLVD,1901 RICHMOND HWY,02/06/2024 4:48 AM
02/07/2024 14:56,xxxxxxxxxxxx10968,1G4HA5E19AU110968,xxxx9826,TYS-9826,2010,BUICK,LUCER,TAN,PRIVATE,5100-BLK OLD MIDLOTHIAN TPKE,642 W SOUTHSIDE PLZ,02/07/2024 2:48 PM
02/11/2024 03:41,xxxxxxxxxxxx60957,1G4HR54K43U160957,xxxx9049,TMJ 9049,2003,BUICK,LESAB,BROWN,PUBLIC,LABROOK DR/MIDLOTHIAN TPKE RICH,642 W SOUTHSIDE PLZ,02/11/2024 2:49 AM
02/05/2024 15:00,xxxxxxxxxxxx02753,1G4HR57Y76U202753,xxx3081,ULK3081,2006,BUICK,LUCER,RED,PUBLIC,2100-BLK CHICAGO AVE,642 W SOUTHSIDE PLZ,02/05/2024 2:59 PM
02/18/2024 06:59,xxxxxxxxxxxx99024,1G4PR5SK5D4199024,xx558A,17558A,2013,BUICK,VERAN,BLACK,PUBLIC,MIDLOTHIAN TPKE/ARCADIA ST RICH,642 W SOUTHSIDE PLZ,02/18/2024 6:52 AM
02/10/2024 19:05,xxxxxxxxxx41477,1g4pw5skxg41477,xxx3844,UVL3844,2014,BIUCK,VEREN,BLACK,PRIVATE,CHALFONT DR/BELT BLVD RICH,1741 BELT BLVD,01/30/2024 2:54 AM
02/16/2024 14:25,xxxxxxxxxxxx25979,1G6CD5154K4225979,xxx4165,UEG4165,1989,CADIL,DEVIL,BROWN,PUBLIC,500-BLK CRAIG AVE,642 W SOUTHSIDE PLZ,02/16/2024 2:23 PM
02/14/2024 14:02,xxxxxxxxxxxx57842,1G6DP5ED3B0157842,xxxx2789,TYM-2789,2011,CADIL,CTS,RED,PUBLIC,1300-BLK GROVE AVE,642 W SOUTHSIDE PLZ,02/14/2024 1:03 PM
02/08/2024 14:21,xxxxxxxxxxxx26364,1G6KD57Y16U226364,xxxx8172,TSD-8172,2006,CADIL,DTS,WHITE,PUBLIC,2200-BLK E 22ND ST,642 W SOUTHSIDE PLZ,02/08/2024 11:47 AM
02/16/2024 01:13,xxxxxxxxxxxx99027,1GAGG25K581199027,xxxx7967,TZA-7967,2008,CHEV,G2500,GLD,PUBLIC,4600-BLK JERVIE DR,642 W SOUTHSIDE PLZ,02/16/2024 1:13 AM
02/06/2024 14:43,xxxxxxxxxxxx07209,1GC4KYCG5JF207209,xxx7720,H347720,2014,CHEVY,SILV,WHITE,PRIVATE,900-BLK MYERS ST,11066 COBBS RD,02/06/2024 2:03 PM
02/07/2024 12:36,xxxxxxxxxxxx54347,1GCCC14D7BB154347,x3110,S3110,1981,CHEVR,C10,GRAY,PUBLIC,400-BLK E 16TH ST,642 W SOUTHSIDE PLZ,02/07/2024 11:47 AM
02/08/2024 01:28,xxxxxxxxxxxx30321,1GÇCS14ZOR8230321,xx65DX,3465DX,95,CHEVY,S10,WHITE,PRIVATE,1300-BLK ARMFIELD RD,11THURMAN ST,02/08/2024 12:24 AM
02/05/2024 15:14,xxxxxxxxxxxx95786,1GCCS19W428195786,xxx5262,TSD5262,2002,CHEVY,S10,WHITE,PUBLIC,200-BLK ALBANY,642 W SOUTHSIDE PLZ,02/05/2024 3:13 PM
02/11/2024 09:43,xxxxxxxxxxxx53410,1GCGG25K681153410,xx349A,17349A,2008,CHEVY,EXPRE,WHITE,PUBLIC,NB CHIPPENHAM/N HUGUENOT RD RICH,642 W SOUTHSIDE PLZ,02/11/2024 8:30 AM
02/09/2024 01:46,xxxxxxxxxxxx10025,1GCGK23R5YF410025,xxxx5718,TPU-5718,2000,CHEV,K2500,BRW,PUBLIC,1800-BLK BRAUERS LN,642 W SOUTHSIDE PLZ,02/09/2024 1:46 AM
02/08/2024 03:57,xxxxxxxxxxxx99048,1GCGSBEC6P1199048,xxx4916,TNZ4916,2023,CHEVR,COLOR,YELLOW,PRIVATE,400-BLK WESTOVER HILLS BLVD,1901 RICHMOND HWY,02/08/2024 3:57 AM
02/07/2024 13:39,xxxxxxxxxxxx52394,1GCGTBE31F1252394,xxERDR,DEERDR,2015,CHEVR,COLOR,SILVER,PUBLIC,W NINE MILE RD/HOLLY AVE RICH,642 W SOUTHSIDE PLZ,02/07/2024 9:48 AM
02/07/2024 04:31,xxxxxxxxxxxx07189,1GCHSBEA1H1307189,xx09CY,BU09CY,2017,CHEVR,COLOR,GRAY,PRIVATE,2700-BLK HOPKINS RD,1901 RICHMOND HWY,02/07/2024 4:31 AM
02/07/2024 14:29,xxxxxxxxxxxx33437,1GCHSCEA5N1233437,xxxx1816,TVH-1816,2022,CHEVR,COLOR,WHITE,PUBLIC,6900-BLK MIDLOTHIAN TPKE,642 W SOUTHSIDE PLZ,02/07/2024 12:46 PM
02/14/2024 10:10,xxxxxxxxxxxx77375,1GCUDGED4PZ177375,xxxx5031,KDP-5031,2023,CHEVR,SILVE,RED,PUBLIC,1400-BLK WILLIS ST,642 W SOUTHSIDE PLZ,02/14/2024 8:59 AM
02/13/2024 23:28,xxxxxxxxxxxx24731,1GCVKSEJ6EZ224731,xxx1773,FKX1773,2014,CHEVY,SILVE,WHITE,PRIVATE,100-BLK MANCHESTER RD,168 BELT BLVD,02/13/2024 11:28 PM
02/11/2024 05:25,xxxxxxxxxxxx89638,1GKDT13S522189638,NONE,NONE,2002,GMC,ENVOY,WHITE,PUBLIC,100-BLK VIRGINIA ST,642 W SOUTHSIDE PLZ,02/11/2024 4:59 AM
02/12/2024 06:47,xxxxxxxxxxxx34897,1GNALCEK2FZ134897,xxx5655,UAC5655,2015,CHEVY,EQUIN,WHITE,PUBLIC,900-BLK NORTH 30TH ST,1901 RICHMOND HWY,02/12/2024 5:00 AM
02/07/2024 21:41,xxxxxxxxxxxx11168,1GNCS18W61K111168,xxx VNJ,703 VNJ,2001,CHEVY,2DOOR,RED,PRIVATE,00-BLK W MARSHALL ST,1200 BENTLEY  ST,02/07/2024 9:41 PM
02/08/2024 17:20,xxxxxxxxxxxx13938,1GNFK16Z74J213938,xx3493,723493,2004,CHEV,K1500,TAN,PUBLIC,800-BLK 18TH ST,642 W SOUTHSIDE PLZ,02/08/2024 5:20 PM
02/18/2024 00:04,xxxxxxxxxxxx99521,1GNKRFED3CJ299521,xxxx3235,TNB-3235,2012,CHEVR,TRAVE,GRAY,PUBLIC,SWANSON RD/KINGSWAY RD RICH,642 W SOUTHSIDE PLZ,02/17/2024 10:54 PM
02/11/2024 13:56,xxxxxxxxxxxx88192,1GNKRGED0BJ388192,xxxx6189,TUB-6189,2011,CHEVY,TRAVE,GOLD,PUBLIC,2000-BLK ACCOMMODATION ST,642 W SOUTHSIDE PLZ,02/11/2024 12:55 PM
02/16/2024 23:57,xxxxxxxxxxxx08960,1GNKRJED1BJ208960,xxXMAN,MAXMAN,11,CHEVY,TRAVE,RED,PRIVATE,2600-BLK W BROAD ST,4839 WALLER RD,02/16/2024 11:45 PM
02/05/2024 18:59,xxxxxxxxxxxx85520,1GNKVGED1BJ185520,xxxx6084,UGC-6084,2011,CHEVR,TRAVE,SILVER,PUBLIC,2300-BLK INGRAM AVE,642 W SOUTHSIDE PLAZA DRIVE,02/05/2024 2:17 PM
02/07/2024 10:57,xxxxxxxxxxxx91241,1GNSKBE05BR391241,xxx4722,TUJ4722,2011,CHEVY,TAHOE,BLACK,PUBLIC,1700-BLK SUMMIT AVE,4839 WALLER RD,02/07/2024 10:17 AM
02/13/2024 20:17,xxxxxxxxxxxx77213,1GNSKCE03BR277213,xxxx2067,UKW-2067,2008,CHEVY,TAHO,BLCK,PRIVATE,900-BLK MYERS ST,2205 DICKENS RD,02/13/2024 8:16 PM
02/16/2024 08:35,xxxxxxxxxxxx38235,1GNSKCKC6HR238235,xxLJCL,COLJCL,2017,CHEV,TAHOE,BLU,PUBLIC,800-BLK E CANAL ST,642 W SOUTHSIDE PLZ,02/16/2024 8:35 AM
02/07/2024 09:36,xxxxxxxxxxxx72723,1GNSKNKD4MR272723,xxx9050,TSZ9050,2021,CHEVY,TAHOE,WHITE,PRIVATE,2700-BLK E CARY ST,1901 RICHMOND HWY,02/06/2024 8:00 PM
02/08/2024 10:50,xxxxxxxxxxxx54384,1GNSKSKD4MR354384,xxxx2546,UCP-2546,2021,CHEV,TAHOE,WHITE,PUBLIC,W BROAD ST/N MADISON ST RICH,642 W SOUTHSIDE PLZ,02/08/2024 10:50 AM
02/05/2024 18:25,xxxxxxxxxxxx02485,1GTCS145728202485,NONE,NONE,2002,GMC,SONOM,WHITE,PRIVATE,4800-BLK FOREST HILL AVE,108 E 20TH ST,02/05/2024 6:24 PM
02/12/2024 14:55,xxxxxxxxxxxx15789,1GYFK23279R115789,xxx1657,UYL1657,2009,CADIL,ESCAL,BLACK,PRIVATE,3100-BLK W CLAY ST,4901 WALLER RD,02/12/2024 2:55 PM
02/15/2024 03:46,xxxxxxxxxxxx94526,1GYFK66817R194526,xxx1942,VNV1942,2007,CADIL,ESCAL,BLACK,REPO,1800-BLK RICHMOND HWY,600 DINWIDDIE AVE,02/15/2024 3:46 AM
02/17/2024 06:07,xxxxxxxxxxxx81550,1GYFZBR42LF081550,xxx2604,UDX2604,2020,CADIL,XT4,BLACK,PRIVATE,3200-BLK CHAMBERLAYNE AVE,8675 TELEGRAPH RD,02/17/2024 6:06 AM
02/09/2024 07:46,xxxxxxxxxxxx49051,1GYS4GKJ7FR249051,xxxx9820,TTR-9820,2015,CADI,ESCAL,BLK,PUBLIC,1600-BLK ROSECREST AVE,642 W SOUTHSIDE PLZ,02/09/2024 7:46 AM
02/06/2024 15:57,xxxxxxxxxxxx16931,1GYUKKEF2AR216931,xxx1563,UEP1563,2010,CADIL,ESCAL,BLK,REPO,700-BLK N 32ND ST,642 W SOUTHSIDE PLZ,02/06/2024 3:56 PM
02/14/2024 16:44,xxxxxxxxxxxx84966,1HGCA563XJA184966,NONE,NONE,1988,HONDA,ACCOR,BURGAND,PRIVATE,2800-BLK FENDALL AVE,642 W SOUTHSIDE PLAZA,02/14/2024 4:44 PM
02/16/2024 00:07,xxxxxxxxxxxx04072,1HGCG165X2A004072,xxxx3911,TXB-3911,2002,HONDA,ACCOR,SIL,PUBLIC,2000-BLK N 28TH ST,642 W SOUTHSIDE PLZ,02/16/2024 12:05 AM
02/13/2024 18:09,xxxxxxxxxxxx13825,1HGCG22591A013825,xxx4311,UDT4311,2001,HONDA,ACCOR,SILVER,PUBLIC,0-BLK S STRAFFORD AVE,642 W SOUTHSIDE PLZ,02/13/2024 6:07 PM
02/17/2024 00:41,xxxxxxxxxxxx51065,1HGCG55602A151065,xx0451,760451,2,HONDA,ACCOR,SILVER,PRIVATE,900-BLK N LOMBARDY ST,4839 WALLER RD,02/17/2024 12:21 AM
02/09/2024 01:58,xxxxxxxxxxxx04796,1HGCG6650YA004796,xxx1965,UNU1965,2000,HONDA,ACCOR,GREEN,PRIVATE,900-BLK ST JOHNS WOOD DR,168 BELT BLVD,02/09/2024 1:58 AM
02/07/2024 12:54,xxxxxxxxxxxx99777,1HGCM56164A099777,xx1258,L31258,2004,HONDA,ACC,SILVER,PUBLIC,100-BLK LIPSCOMB ST,642 W SOUTHSIDE PLZ,02/07/2024 12:49 PM
02/07/2024 09:30,xxxxxxxxxxxx52710,1HGCM56384A152710,xxxx9728,VUA-9728,2004,HONDA,ACCOR,GLD,PUBLIC,MECHANICSVILLE TPKE/MANGOLIA ST RICH,642 W SOUTHSIDE PLZ,02/07/2024 9:26 AM
02/08/2024 18:06,xxxxxxxxxxxx87634,1HGCM66523A087634,xxxx9070,UTM-9070,2003,HONDA,ACC,WHITE,PUBLIC,GORDON AVE/COMMERCE RD RICH,642 W SOUTHSIDE PLZ,02/08/2024 6:06 PM
02/15/2024 02:39,xxxxxxxxxxA0042,1HGCM72355A0042,xxx5487,TSG5487,2008,HONDA,ACCOR,BLUE,PRIVATE,6500-BLK GREENBANK RD,11THURMAN,02/15/2024 2:30 AM
02/10/2024 01:35,xxxxxxxxxxxx00315,1HGCM72725A000315,xxxBGQG,209BGQG,2005,HONDA,ACCOR,GRAY,PRIVATE,400-BLK WESTOVER HILLS BLVD,1901 RICHMOND HWY,02/10/2024 1:34 AM
02/15/2024 03:36,xxxxxxxxxxxx17608,1HGCP26888A117608,xx25RE,7725RE,2008,HONDA,ACCOR,BLACK,PRIVATE,2700-BLK HOPKINS RD,1901 RICHMOND HWY,02/15/2024 3:36 AM
02/06/2024 21:34,xxxxxxxxxxxx35900,1HGCP268X8A035900,xxxx7021,VRJ 7021,2008,HONDA,ACCOR,GRAY,PUBLIC,WARWICK RD/WARWICK VILLAGE DR RICH,642 W SOUTHSIDE PLZ,02/06/2024 9:00 PM
02/10/2024 18:23,xxxxxxxxxxxx43588,1HGCP2F3XBA143588,xxxx8099,XCK-8099,2011,HONDA,ACCOR,SILVER,PUBLIC,2000-BLK BROOK RD,642 W SOUTHSIDE PLZ,02/10/2024 4:54 PM
02/09/2024 15:50,xxxxxxxxxxxx03354,1HGCP2F67CA203354,xxx1554,TUB1554,2012,HONDA,ACCOR,BLK,PUBLIC,GROVE AVE/N SHEPPARD ST RICH,642 W SOUTHSIDE PLZ,02/09/2024 3:50 PM
02/06/2024 04:19,xxxxxxxxxxxx14520,1HGCP2F73BA114520,xxx3787,TPY3787,2011,HONDA,ACCOR,SILVER,PRIVATE,400-BLK WESTOVER HILLS BLVD,1901 RICHMOND HWY,02/06/2024 4:18 AM
02/12/2024 20:50,xxxxxxxxxxxx53194,1HGCP2F85BA053194,xx401F,26401F,2011,HONDA,ACCOR,GRAY,PUBLIC,HERMITAGE RD/WESTWOOD AVE RICH,642 W SOUTHSIDE PLZ,02/12/2024 8:28 PM
02/08/2024 03:10,xxxxxxxxxxxx51912,1HGCP2F88CA051912,xx0189,400189,2012,HONDA,ACCOR,BLACK,PRIVATE,1900-BLK CEDAR ST,1901 RICHMOND HWY,02/08/2024 3:10 AM
02/05/2024 22:48,xxxxxxxxxxxx38105,1HGCP36868A038105,xxxx1130,YUX 1130,2008,HONDA,4DOOR,GREY,PRIVATE,900-BLK W LEIGH ST,1200 BENTLEY  ST,02/05/2024 10:48 PM
02/05/2024 04:43,xxxxxxxxxxxx73956,1HGCP368X8A073956,xxxx7877,TMJ 7877,2008,HONDA,ACCOR,GRAY,PUBLIC,5400-BLK BRYCE LN,642 W SOUTHSIDE PLZ,02/05/2024 4:28 AM
02/13/2024 15:38,xxxxxxxxxxxx02264,1HGCR2F33FA002264,x1PQ1,E1PQ1,2015,HONDA,ACCOR,BLUE,PUBLIC,E BROOKLAND PARK BLVD/GROVELAND AVE RICH,642 W SOUTHSIDE PLZ,02/13/2024 3:36 PM
